isbn,original_title,original_publication_year,authors,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
156012197,Le Petit Prince,1946.0,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",15039,32866,114714,228440,468227
074324754X,The Glass Castle,2005.0,Jeannette Walls,7901,18922,85191,227750,298102
385486804,Into the Wild,1996.0,Jon Krakauer,19229,35567,135199,248287,227095
141439602,A Tale of Two Cities,1859.0,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",28904,55555,153305,216378,223571
030734813X,Jurassic Park,1990.0,Michael Crichton,15736,34222,138327,231583,230615
60256656,The Giving Tree,1964.0,Shel Silverstein,15345,20408,76071,167542,428921
385338600,A Time to Kill,1989.0,John Grisham,12106,25938,122675,218617,229488
374500010,Un di Velt Hot Geshvign,1958.0,"Elie Wiesel, Marion Wiesel",7761,18539,90575,230227,360777
014241493X,Paper Towns,2008.0,John Green,14105,47183,154479,223895,215609
345418263,The Princess Bride,1973.0,William Goldman,12883,21641,89236,196047,338235
014038572X,The Outsiders,1967.0,S.E. Hinton,10178,34346,134244,227250,274419
385737947,The Maze Runner,2009.0,James Dashner,15291,43370,150488,266698,302109
61234001,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,2005.0,"Steven D. Levitt, Stephen J. Dubner",14586,26538,115789,216316,176072
517189607,The Secret Garden,1911.0,Frances Hodgson Burnett,8005,25207,129646,243821,285570
60531045,Cien años de soledad,1967.0,"Gabriel García Márquez, Gregory Rabassa",27340,37646,87675,155809,267197
375751513,The Picture of Dorian Gray,1891.0,"Oscar Wilde, Jeffrey Eugenides",9825,30735,129420,246892,257679
345803507,Fifty Shades Freed,2012.0,E.L. James,39079,55691,109963,140304,265079
393970124,Dracula,1897.0,"Bram Stoker, Nina Auerbach, David J. Skal",11756,36719,151396,246043,243825
307269981,Flickan som lekte med elden,2006.0,"Stieg Larsson, Reg Keeland",4623,15781,91021,258236,279592
1612130585,Fifty Shades Darker,2011.0,E.L. James,37245,58935,114203,150906,262051
60786507,The Poisonwood Bible,1998.0,Barbara Kingsolver,21699,33702,92590,175725,239071
349113912,Me Talk Pretty One Day,2000.0,David Sedaris,19718,29034,93427,178021,194076
99408392,Where the Wild Things Are,1963.0,Maurice Sendak,15392,27532,93700,167043,332394
140449264,Le Comte de Monte-Cristo,1844.0,"Alexandre Dumas, Robin Buss",10381,22482,89980,183142,295235
307265439,The Road,2006.0,Cormac McCarthy,20086,36561,100989,190823,207328
7524277,Allegiant,2013.0,Veronica Roth,31626,78366,176061,192785,184388
,Bossypants,2011.0,Tina Fey,14842,31761,129390,230080,203187
446693804,A Walk to Remember,1999.0,Nicholas Sparks,10640,24094,94327,169650,260870
440241413,Confessions of a Shopaholic,2000.0,Sophie Kinsella,30705,56949,156636,166927,146787
451525264,Les Misérables,1862.0,"Victor Hugo, Lee Fahnestock, Norman MacAfee",15225,25914,87461,167385,264147
553381695,A Clash of Kings,1998.0,George R.R. Martin,1788,7104,56167,221706,320000
143037145,The Memory Keeper's Daughter,2005.0,Kim Edwards,19453,47004,145437,183150,115538
670026603,Me Before You,2012.0,Jojo Moyes,10346,21880,91517,249474,367916
684833395,Catch-22,1961.0,Joseph Heller,20639,37912,106269,186745,230950
751529818,Tuesdays with Morrie,1997.0,"Mitch Albom, Saulius Dagys",11507,30534,107446,194448,240462
312422156,Middlesex,2002.0,Jeffrey Eugenides,19329,30503,89740,171099,197327
143039563,The Adventures of Tom Sawyer,1876.0,"Mark Twain, Guy Cardwell, John Seelye",12130,34349,143659,217896,186192
440498058,A Wrinkle in Time,1962.0,Madeleine L'Engle,17313,34988,119115,209745,268933
143038095,The Joy Luck Club,1989.0,Amy Tan,14802,30197,116748,195930,167566
038549081X,The Handmaid's Tale,1985.0,Margaret Atwood,13998,32561,116975,252942,267088
385729332,The Sisterhood of the Traveling Pants,2001.0,Ann Brashares,14996,42396,152024,177404,149784
,Lolita,1955.0,"Vladimir Nabokov, Craig Raine",21091,37205,108664,165477,185553
60987103,Wicked: The Life and Times of the Wicked Witch of the West,1995.0,"Gregory Maguire, Douglas Smith",40802,65835,132061,153583,133217
582418275,The Firm,1991.0,John Grisham,5075,20119,111543,190966,160652
316098337,Room,2010.0,Emma Donoghue,11020,26079,99831,217995,201402
521618746,"The Tragicall Historie of Hamlet, Prince of Denmark",1600.0,"William Shakespeare, Richard Andrews, Rex Gibson",10413,32697,121040,192937,219807
340839937,Dune,1965.0,Frank Herbert,13354,22778,74206,154771,260867
316346624,The Tipping Point: How Little Things Can Make a Big Difference,2000.0,Malcolm Gladwell,15111,25871,106453,189120,162511
1451648537,Steve Jobs,2011.0,Walter Isaacson,19680,21986,88456,203975,245159
451163966,One Flew Over the Cuckoo's Nest,1962.0,Ken Kesey,5672,15978,78714,191622,222472
684830493,The Old Man and the Sea,1952.0,Ernest Hemingway,28645,52583,136217,186747,170136
142000663,The Grapes of Wrath,1939.0,John Steinbeck,23552,40261,103475,173589,212475
1401308589,The Five People You Meet in Heaven,2003.0,Mitch Albom,12360,33669,107800,155830,165040
451528824,Anne of Green Gables,1908.0,L.M. Montgomery,8864,19531,80256,158725,265976
1416914307,City of Glass,2009.0,Cassandra Clare,6646,17351,79202,179290,348071
055357342X,A Storm of Swords,2000.0,George R.R. Martin,1456,4820,36418,149268,335682
006075995X,Divine Secrets of the Ya-Ya Sisterhood,1996.0,Rebecca Wells,15795,35314,120396,158451,140552
440242940,Outlander,1991.0,Diana Gabaldon,20998,27673,73126,147085,309960
142437263,The Scarlet Letter,1850.0,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",34813,80444,182701,165079,96209
1594744769,Miss Peregrine’s Home for Peculiar Children,2011.0,Ransom Riggs,14920,45434,159227,234792,217849
030726999X,Luftslottet som sprängdes,2007.0,"Stieg Larsson, Reg Keeland",3823,14773,78387,203297,226511
804139024,The Martian,2012.0,Andy Weir,4114,10856,49200,173861,291671
451207149,The Pillars of the Earth,1989.0,Ken Follett,9248,16886,57825,148052,263882
1476746583,,2014.0,Anthony Doerr,6209,14527,61020,185239,280832
1400064163,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2010.0,Laura Hillenbrand,10308,12874,47828,144203,313339
671027387,Deception Point,2001.0,Dan Brown,14380,45006,143182,160819,116346
316055433,The Goldfinch,2013.0,Donna Tartt,19164,35300,93459,153459,162465
1595141715,Thirteen Reasons Why,2007.0,Jay Asher,15246,35668,105414,179197,235756
452287022,Girl with a Pearl Earring,1999.0,Tracy Chevalier,11525,28287,123463,189656,139246
525421033,If I Stay,2009.0,Gayle Forman,12666,34896,122977,190793,205755
312353766,The Red Tent,1997.0,Anita Diamant,9470,19616,67878,146178,206075
786856866,The Sea of Monsters,2006.0,Rick Riordan,2967,13884,91127,188988,253546
446528056,Dear John,2006.0,Nicholas Sparks,9683,25220,94711,145202,179965
1416914293,City of Ashes,2008.0,Cassandra Clare,6135,20075,92626,192934,274238
743477103,The Tragedy of Macbeth,1606.0,William Shakespeare,10551,35408,127354,183871,167642
618346260,The Two Towers,1954.0,J.R.R. Tolkien,3013,10264,55433,156232,307267
031232118X,Something Borrowed,2004.0,Emily Giffin,16019,29297,104322,148507,137044
394800168,Green Eggs and Ham,1960.0,"Dr. Seuss, לאה נאור",6605,14530,66873,121751,251282
142403881,Charlie and the Chocolate Factory,1964.0,"Roald Dahl, Quentin Blake",6236,17193,94240,178216,198862
1423101464,The Battle of the Labyrinth,2008.0,Rick Riordan,2435,8093,62108,172289,292783
192833596,Great Expectations,1860.0,Charles Dickens,22811,44293,120385,170702,148996
345339738,The Return of the King,1955.0,J.R.R. Tolkien,2691,8008,42693,132149,324996
,L’Étranger,1942.0,"Albert Camus, Matthew    Ward",10563,28920,100140,174957,169043
142311339X,The Lost Hero,2010.0,Rick Riordan,5020,11267,58590,148498,266120
1250012570,Eleanor & Park,2013.0,Rainbow Rowell,12904,26371,94470,196224,249784
055358202X,A Feast for Crows,2005.0,George R.R. Martin,3170,18574,94401,175973,189012
525423648,Matched,2010.0,Ally Condie,24343,53804,138030,165412,149091
747263744,American Gods,2001.0,Neil Gaiman,9888,24944,83253,178346,221912
385199570,The Stand,1978.0,"Stephen King, Bernie Wrightson",5647,13612,56722,134098,259874
446547565,The Last Song,2008.0,Nicholas Sparks,7253,17803,77712,140241,195420
552151696,Digital Fortress,1998.0,Dan Brown,16592,47507,136196,144029,103179
141439580,Emma,1815.0,"Jane Austen, Fiona Stafford",11386,25777,102144,178238,180404
345803922,Анна Каренина,1877.0,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",11738,26945,88365,158179,187569
393312836,A Clockwork Orange,1962.0,Anthony Burgess,14741,24244,84863,163488,167055
964729237,The Shack: Where Tragedy Confronts Eternity,2007.0,William Paul Young,35734,42977,84751,111923,162907
739380338,The Last Olympian,2009.0,Rick Riordan,2098,6501,45208,133168,312535
451169514,It,1986.0,Stephen King,8464,19610,75841,148672,226794
143058142,Преступление и наказание,1866.0,"Fyodor Dostoyevsky, David McDuff",9477,20078,64050,137104,213966
61148512,The Bell Jar,1963.0,Sylvia Plath,8266,23983,92408,162216,155284
7205236,Angela's Ashes: A Memoir,1996.0,Frank McCourt,7657,18327,73550,155775,164437
553208845,Siddhartha,1922.0,"Hermann Hesse, Hilda Rosner",10229,25529,83698,138837,160360
679745580,In Cold Blood,1965.0,Truman Capote,10639,17836,70857,144616,157891
316042676,Beautiful Creatures,2009.0,"Kami Garcia, Margaret Stohl",19917,43525,113352,132492,149232
1416975861,Clockwork Angel,2010.0,Cassandra Clare,8364,15544,61409,140928,289514
141301066,Matilda,1988.0,"Roald Dahl, Quentin Blake",4277,10823,64536,152003,231852
385534639,The Night Circus,2011.0,Erin Morgenstern,11349,28650,84254,159596,190977
743227441,The Other Boleyn Girl,2001.0,Philippa Gregory,5311,16716,78620,153807,144769
689865384,Uglies,2005.0,Scott Westerfeld,15531,34808,106086,151540,156624
,A Dance with Dragons,2011.0,George R.R. Martin,2399,10150,53744,147136,211189
618640150,The Lord of the Rings,1955.0,J.R.R. Tolkien,4807,9577,37552,106818,277592
307592731,Wild: From Lost to Found on the Pacific Crest Trail ,2012.0,Cheryl Strayed,8344,22137,85489,165482,139451
930289234,Watchmen,1987.0,"Alan Moore, Dave Gibbons, John Higgins",6349,11732,44847,116877,229518
075640407X,The Name of the Wind,2007.0,Patrick Rothfuss,5605,8582,28480,95470,311235
316017922,Outliers: The Story of Success,2008.0,Malcolm Gladwell,4494,12545,62510,148978,140599
142437247,"Moby Dick; or, The Whale",1851.0,"Herman Melville, Andrew Delbanco, Tom Quirk",35983,52601,103625,102432,103322
385340990,The Guernsey Literary and Potato Peel Pie Society,2008.0,"Mary Ann Shaffer, Annie Barrows",7190,17250,68942,155107,175183
393327345,Fight Club,1996.0,Chuck Palahniuk,4578,12632,58110,139554,173780
441008534,Dead Until Dark,2001.0,Charlaine Harris,11330,25781,96290,148326,163097
671727796,The Color Purple,1982.0,Alice Walker,6298,14477,62380,140835,176975
739461192,Marley & Me: Life and Love with the World's Worst Dog,2005.0,John Grogan,5485,14940,68532,131536,158855
312330871,Ten Little Niggers,1939.0,Agatha Christie,6134,12476,66243,156306,215521
385504225,The Lost Symbol,2009.0,Dan Brown,11293,40545,120122,136545,96477
1416989412,"Hush, Hush",2009.0,Becca Fitzpatrick,19338,33543,82544,120204,206173
,Beautiful Disaster,2011.0,Jamie McGuire,17185,23298,61993,115123,225097
1561797464,A Christmas Carol,1843.0,Charles Dickens,6737,21415,93906,153823,165515
345476875,Interview with the Vampire,1976.0,Anne Rice,7519,22377,84804,137659,141582
62059939,The Selection,2012.0,Kiera Cass,13841,25349,83692,158716,257493
312362080,One for the Money,1994.0,Janet Evanovich,9176,19657,80319,133454,160709
1400052173,The Immortal Life of Henrietta Lacks,2010.0,Rebecca Skloot,10782,18237,70339,151226,153856
99446782,The Silence of the Lambs,1988.0,Thomas Harris,10268,12845,55427,123652,163920
159514174X,,2007.0,Richelle Mead,12535,22043,73357,129382,217834
316010669,Blink: The Power of Thinking Without Thinking,2005.0,Malcolm Gladwell,6804,20128,85934,139947,107525
038572179X,Atonement,2001.0,Ian McEwan,11473,25462,77135,134788,116800
553213695,Die Verwandlung,1915.0,"Franz Kafka, Stanley Corngold",15430,33226,98774,146297,120806
141382899,The Titan's Curse,2007.0,Rick Riordan,1863,7934,65220,162371,248874
030788743X,,2011.0,Ernest Cline,5150,12928,48285,134107,221349
1554681723,The Art of Racing in the Rain,2006.0,Garth Stein,4808,13901,53780,118166,163664
739303406,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",2003.0,"Erik Larson, Tony Goldwyn",6687,18709,69012,135360,120839
425263908,Bared to You,2012.0,Sylvia Day,9867,18983,55554,104657,197075
66238501,The Chronicles of Narnia,1956.0,"C.S. Lewis, Pauline Baynes",3772,12192,59975,133056,192681
316043133,Twilight: The Complete Illustrated Movie Companion,,Mark Cotta Vaz,6862,11019,48008,67939,158071
1558743669,"A Child Called ""It"": One Child's Courage to Survive",1995.0,Dave Pelzer,7819,16453,57341,98786,140899
752864327,The Bourne Identity,1980.0,Robert Ludlum,10266,17695,65161,118463,124627
786817879,Artemis Fowl,2001.0,Eoin Colfer,14473,30894,94950,129607,129241
385738935,Fallen,2009.0,Lauren Kate,23594,41578,94145,107149,141642
142000655,East of Eden  ,1952.0,John Steinbeck,4183,9409,39153,96741,187196
307341569,Dark Places,2009.0,Gillian Flynn,5169,17975,89242,165108,109113
385339089,The Client,1993.0,John Grisham,2530,12566,79176,129019,102372
312291639,The Nanny Diaries,2002.0,"Emma McLaughlin, Nicola Kraus",17006,43014,116021,95951,56081
451527747,Alice's Adventures in Wonderland,1865.0,"Lewis Carroll, John Tenniel, Martin Gardner",5294,17482,76985,127906,149523
192802631,Persuasion,1817.0,"Jane Austen, James Kinsley, Deidre Shauna Lynch",6688,15653,71218,133222,175578
312370830,Elle s'appelait Sarah,2007.0,Tatiana de Rosnay,3865,12684,55760,134748,140574
452284694,The Gunslinger,1982.0,Stephen King,9958,24111,72736,112895,146677
140003468X,El amor en los tiempos del cólera,1985.0,"Gabriel García Márquez, Edith Grossman",11450,23825,65668,110544,111974
014131088X,Speak,1999.0,Laurie Halse Anderson,7770,21049,76503,125660,141422
399159347,The Husband's Secret ,2013.0,Liane Moriarty,4175,15649,80869,155945,95167
385494785,Into Thin Air: A Personal Account of the Mt. Everest Disaster,1997.0,Jon Krakauer,8041,10286,46060,112601,124605
1416524304,Carrie,1974.0,Stephen King,4564,19479,96352,136054,121201
031242227X,Running with Scissors,2002.0,Augusten Burroughs,13569,27249,78405,105786,81379
307346609,World War Z: An Oral History of the Zombie War,2006.0,Max Brooks,7680,19887,65570,121537,130475
385537859,Inferno,2013.0,Dan Brown,7261,26077,89237,128374,94611
440227534,Number the Stars,1989.0,Lois Lowry,3797,12794,63919,123296,138559
446692638,Along Came a Spider,1993.0,James Patterson,4281,10929,61630,118236,122955
450417395,Misery,1987.0,Stephen King,4302,12725,64835,128990,141351
307341542,Sharp Objects,2006.0,Gillian Flynn,4988,17566,81036,147558,103690
439366771,Bridge to Terabithia,1977.0,Katherine Paterson,8287,20081,74409,119504,131193
312360266,Marked,2007.0,"P.C. Cast, Kristin Cast",21547,34170,81486,97982,135835
743269519,The 7 Habits of Highly Effective People,1989.0,Stephen R. Covey,9038,17041,61036,109359,137410
743477545,A Midsummer Night's Dream,1595.0,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",5598,20498,84388,130051,120975
618711651,Extremely Loud and Incredibly Close,2005.0,Jonathan Safran Foer,8847,20556,61303,109008,119402
375869026,Wonder,2012.0,R.J. Palacio,4504,7833,34567,105977,224910
039480001X,The Cat in the Hat,1957.0,Dr. Seuss,6179,14497,57850,85944,152712
312641893,Cinder,2012.0,Marissa Meyer,12154,18256,66180,150914,206642
316206849,The Cuckoo's Calling,2013.0,"Robert Galbraith, J.K. Rowling",9729,20151,79290,138955,92370
545123267,Shiver,2009.0,Maggie Stiefvater,17815,35108,86129,105099,126660
452011876,Atlas Shrugged,1957.0,"Ayn Rand, Leonard Peikoff",30901,27442,53762,78744,105796
143038257,Three Cups of Tea ,2006.0,"Greg Mortenson, David Oliver Relin",14371,27844,77127,97820,71358
517223627,,1865.0,"Jane Carruth, Lewis Carroll, Rene Cloke",7467,18101,70170,109730,137803
143034901,La sombra del viento,2001.0,"Carlos Ruiz Zafón, Lucia Graves",4789,11769,42214,101612,157170
385738757,The Scorch Trials,2010.0,James Dashner,5525,21370,79458,124458,115496
,How to Win Friends and Influence People,1936.0,Dale Carnegie,6734,13880,50529,94743,139551
767900383,Under the Tuscan Sun,1996.0,Frances Mayes,12008,22882,74910,93439,78597
399167064,Big Little Lies,2014.0,Liane Moriarty,3775,7865,49115,159494,151184
590920685,Ella Enchanted,1997.0,Gail Carson Levine,6619,20066,80272,110568,128224
743297334,The Sun Also Rises,1926.0,Ernest Hemingway,9602,23682,70004,105785,94044
61120073,A Tree Grows In Brooklyn ,1943.0,Betty  Smith,3693,9667,43734,103879,148027
446677388,Kiss the Girls,1995.0,James Patterson,10518,14558,58296,95980,99764
312577222,The Nightingale,2015.0,Kristin Hannah,2829,4913,20612,82844,215817
1400078776,Never Let Me Go,2005.0,Kazuo Ishiguro,9081,26036,78203,118163,92144
786890754,"PS, I Love You",2003.0,Cecelia Ahern,7027,16336,56951,90089,113010
1844080382,Rebecca,1938.0,"Daphne du Maurier, Sally Beauman",4565,10900,49263,112768,152100
156030306,Flowers for Algernon,1966.0,Daniel Keyes,4223,14882,65106,122462,129526
552995878,Como agua para chocolate,1989.0,"Laura Esquivel, Thomas  Christensen, Carol Christensen",8887,15941,60147,100011,100483
812968069,Snow Flower and the Secret Fan,2005.0,Lisa See,3268,11286,56005,116178,103923
451205766,The Godfather,1969.0,"Mario Puzo, Robert Thompson, Peter Bart",2930,5985,30009,83730,147732
525476881,An Abundance of Katherines,2006.0,John Green,14225,36867,98115,111740,86477
553803719,Foundation,1951.0,Isaac Asimov,7697,12471,47251,97583,132586
62255657,The Ocean at the End of the Lane,2013.0,Neil Gaiman,7038,18089,64714,127761,118649
60513063,A Light in the Attic,1981.0,Shel Silverstein,3585,7593,38923,85051,169362
751565350,"Harry Potter and the Cursed Child, Parts One and Two",2016.0,"John Tiffany, Jack Thorne, J.K. Rowling",15828,35842,96395,133156,116552
61726834,Delirium,2011.0,Lauren Oliver,8868,21223,68789,117580,135938
385339704,The Pelican Brief,1992.0,John Grisham,2362,12423,73587,116438,91358
61139378,Coraline,2002.0,Neil Gaiman,7078,15010,67188,126167,128187
60853980,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",1990.0,"Terry Pratchett, Neil Gaiman",4991,10988,44804,101159,164431
140042598,On the Road,1955.0,Jack Kerouac,13769,31221,70104,88569,74221
1476729085,The Rosie Project,2013.0,Graeme Simsion,4544,11558,57792,133951,97664
446579939,The Lucky One,2008.0,Nicholas Sparks,3661,11792,54208,94613,117049
451191153,The Fountainhead,1943.0,"Ayn Rand, Leonard Peikoff",18158,18720,44131,76424,97543
425172902,The Hunt for Red October,1984.0,Tom Clancy,9470,13707,49906,95296,109876
038039586X,Watership Down,1972.0,Richard Adams,9158,15767,52906,102093,128449
307886263,Is Everyone Hanging Out Without Me? (And Other Concerns),2011.0,Mindy Kaling,6438,18856,81229,117248,89160
375414495,Cutting for Stone,2009.0,Abraham Verghese,4586,9249,32671,91293,143280
006112527X,The Voyage of the Dawn Treader,1951.0,"C.S. Lewis, Pauline Baynes",2658,12490,69089,112121,128906
753453800,Treasure Island,1882.0,Robert Louis Stevenson,5349,19127,86487,114968,84584
1423140591,The Son of Neptune ,2011.0,Rick Riordan,1773,4666,30788,93611,185962
1451627289,11/22/63,2011.0,Stephen King,2927,7649,35500,109392,147589
241003008,The Very Hungry Caterpillar,1969.0,Eric Carle,5801,11214,43549,73389,170575
140285601,Cat's Cradle,1963.0,Kurt Vonnegut Jr.,2701,8491,43680,102441,116840
